,,,General Data,,,,,,,,,Time to Reach,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Tank11,Tank12,Tank13,Tank14,Tank15,Tank16,Average Time
2,16,10,4,6,0,13,,,#N/A,#N/A,#N/A,9.95,#N/A,8.11,6.72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.41,#N/A,#N/A,9.25
3,16,6.05,16,0,0,10,,,5.91,3.74,4.28,3.37,5.45,3.37,2.9,4.28,3.37,3.88,4.7,4.28,3.88,4.41,2.79,3.5,4.01
4,16,6.09,16,0,0,6,,,3.45,5.31,3.87,4.83,4.33,5.92,3.06,5.31,4.83,3.45,4.33,4.83,3.06,4.17,3.45,4.01,4.26
5,16,5.44,16,0,0,11,,,3.24,3.39,3.88,3.08,3.24,3.24,2.77,3.08,4.73,4.4,5.25,3.71,2.92,3.08,2.77,3.08,3.49
6,16,7.92,16,0,0,0,,,3.27,4.02,4.66,2.84,3.27,3.27,5.69,4.36,3.15,4.51,3.42,3.15,4.99,2.84,7.75,3.42,4.04
7,16,5.15,16,0,0,0,,,3.44,3.44,3.93,3.44,2.94,3.93,2.94,3.75,4.96,4.09,4.09,3.75,3.44,3.11,4.26,3.27,3.67
8,16,4.99,16,0,0,0,,,3.95,3.95,3.78,3.11,3.11,3.28,3.11,4.46,4.13,2.95,2.95,4.29,4.13,2.95,2.95,4.82,3.62
9,16,4.65,16,0,0,0,,,3.28,3.12,3.43,3.12,4.49,3.78,3.28,3.28,3.12,3.59,3.78,3.43,3.78,2.8,3.28,3.28,3.43
10,16,5.51,16,0,0,0,,,3.21,2.73,5.41,3.51,3.7,2.88,3.37,3.37,3.04,3.87,3.7,4.06,3.51,3.21,4.24,3.37,3.57
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Generation,No of Tanks,Time (s),Tanks Reached,Tanks Destroyed,Towers,Tanks have Tower Genes,,,Tank1,Tank2,Tank3,Tank4,Tank5,Tank6,Tank7,Tank8,Tank9,Tank10,Tank11,Tank12,Tank13,Tank14,Tank15,Tank16,Average Time
1,15,10,2,11,1,11,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.48,#N/A,#N/A,#N/A,#N/A,7.44,#N/A,8.5
2,16,10,3,6,0,14,,,#N/A,9.89,#N/A,#N/A,#N/A,3.11,#N/A,7.52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.09
3,16,10,9,0,0,16,,,#N/A,5.16,#N/A,#N/A,#N/A,3.45,6.57,4.41,4.72,4.19,#N/A,3.68,#N/A,#N/A,3.78,3.34,6.85
4,16,8.17,16,0,0,2,,,3.3,6.29,3.3,6.79,7.49,6.11,8.01,5.94,5.2,6.46,3.14,3.62,7.31,3.14,3.75,3.3,5.2
